X,Y,OBJECTID,APN,TAX_RATE_AREA,SITUS_HOUSE_NUMBER,SITUS_HOUSE_NUMBER_SUFFIX,SITUS_STREET_DIRECTION,SITUS_STREET_NAME,SITUS_STREET_TYPE,SITUS_UNIT_NUMBER,SITUS_CITY_NAME,SITUS_STATE_CODE,SITUS_ZIP_CODE,NUMBER_OF_SITUS_ADDRESS,PARCELTYPE,LASTPARUPDATE,SITEADDRESS,Shape_Length,Shape_Area,School_Daycare
6107839.67136983,1966396.07851488,395196,16105003,5000,323,,,MOORPARK,WY,,MOUNTAIN VIEW,CA,94041-1621,1,PAR,FY2019Q2,323 MOORPARK WY,992.683174384032,41485.7102188437,1
6099527.42831753,1977452.22011742,396876,15304007,5010,2028,,,OLD MIDDLEFIELD,WY,,MOUNTAIN VIEW,CA,94043-2402,1,PAR,FY2019Q2,2028 OLD MIDDLEFIELD WY,649.450579506145,21578.4174850876,1
6100765.57625423,1963993.4909654,399783,19309007,5000,1550,,,ALISON,AV,,MOUNTAIN VIEW,CA,94040-3014,1,PAR,FY2019Q2,1550 ALISON AV,330.176909905553,6305.29085160423,1
6098008.68856811,1974103.53685463,400153,14736035,5010,254,,N,RENGSTORFF,AV,,MOUNTAIN VIEW,CA,94043-4224,1,PAR,FY2019Q2,254 N RENGSTORFF AV,1763.27534440701,95897.6741757364,1
6098858.80533338,1978473.31584425,416949,14706035,5010,908,,N,RENGSTORFF,AV,,MOUNTAIN VIEW,CA,94043-1714,1,PAR,FY2019Q2,908 N RENGSTORFF AV,693.467409890142,19402.7101480948,1
6101415.55298381,1973587.55347038,425315,15017002,5010,750,,,SAN PIERRE,WY,,MOUNTAIN VIEW,CA,94043,5,PAR,FY2019Q2,750 SAN PIERRE WY,3580.809358371,746961.071284595,1
6104014.81741659,1962681.18256662,426905,19739008,5000,253,,,MARTENS,AV,,MOUNTAIN VIEW,CA,94040,1,PAR,FY2019Q2,253 MARTENS AV,2750.3846339293,461505.067152143,1
6108015.24423229,1969677.65348127,433240,16051001,5000,220,,N,WHISMAN,RD,,MOUNTAIN VIEW,CA,94043,2,PAR,FY2019Q2,220 N WHISMAN RD,2679.33837616084,391609.703698824,1
6107186.38858836,1957530.47846543,433518,19706005,5009,1325,,,BRYANT,AV,,MOUNTAIN VIEW,CA,94040,1,PAR,FY2019Q2,1325 BRYANT AV,1713.92459495507,96181.3006542931,1
6100318.45932411,1977030.81183942,448652,15305007,5010,1931,,,OLD MIDDLEFIELD,WY,,MOUNTAIN VIEW,CA,94043-2557,3,PAR,FY2019Q2,1931 OLD MIDDLEFIELD WY,1242.2480109656,97083.9369666136,1
6101028.98605362,1975853.92935086,449777,15314025,5010,1701,,,ROCK,ST,,MOUNTAIN VIEW,CA,94043-1810,3,PAR,FY2019Q2,1701 ROCK ST,4511.63471510106,575927.391687444,1
6097857.82791128,1973898.81597186,452171,14736034,5010,160,,N,RENGSTORFF,AV,,MOUNTAIN VIEW,CA,94043-4222,2,PAR,FY2019Q2,160 N RENGSTORFF AV,1898.05587808835,88993.4495117413,1
6101325.17722304,1970977.73683986,454106,15404012,5000,1200,,,VILLA,ST,,MOUNTAIN VIEW,CA,94041-1126,12,PAR,FY2019Q2,1200 VILLA ST,3133.07735003312,543075.065229486,1
6097825.74746716,1973777.12428522,459983,14736028,5010,,,N,RENGSTORFF,AV,,MOUNTAIN VIEW,CA,94043,1,PAR,FY2019Q2,N RENGSTORFF AV,634.741506150953,25530.0922689054,1
6101438.74780943,1975880.1668306,461898,15314024,5010,,,,,,,,,,0,PAR,FY2019Q2,,1595.72933070386,123957.641613016,1
6098215.10573953,1964793.85993547,463489,18926064,5009,1425,,,SPRINGER,RD,,MOUNTAIN VIEW,CA,94040-3063,1,PAR,FY2019Q2,1425 SPRINGER RD,1502.12193381444,135687.645147715,1
6098623.01172316,1964755.46171834,463493,18926060,5009,1425,,,SPRINGER,RD,,MOUNTAIN VIEW,CA,94040-3063,1,PAR,FY2019Q2,1425 SPRINGER RD,1120.5671697846,77468.6971343257,1
6096668.4284978,1972414.18114497,464157,14838150,5000,2188,,,UNIVERSITY,AV,,MOUNTAIN VIEW,CA,94040-1603,1,PAR,FY2019Q2,2188 UNIVERSITY AV,403.128805298979,9844.46227516335,1
6097979.94248524,1972573.52433023,466871,15401033,5000,298,,,ESCUELA,AV,,MOUNTAIN VIEW,CA,94040-1813,5,PAR,FY2019Q2,298 ESCUELA AV,6855.51027415628,1166196.67796546,1
6108083.92632718,1965601.36849163,468189,16114023,5000,501,,,SYLVAN,AV,,MOUNTAIN VIEW,CA,94041,2,PAR,FY2019Q2,501 SYLVAN AV,352.408144469315,6456.1304886686,1
6093964.6124498,1974011.3269017,471696,14822023,5009,405,,S,SAN ANTONIO,RD,,MOUNTAIN VIEW,CA,94040-1215,6,PAR,FY2019Q2,405 S SAN ANTONIO RD,556.734938024642,9698.25329440249,1
6100842.5386963,1975760.64508884,481713,15314022,5010,,,,,,,,,,0,PAR,FY2019Q2,,1731.21424042096,104319.691938556,1
6104042.28161199,1965422.51189289,483230,15801040,5000,86,,W,EL CAMINO REAL,,,MOUNTAIN VIEW,CA,94040-2643,2,PAR,FY2019Q2,86 W EL CAMINO REAL,738.899968257435,32850.1594366362,1
6098218.70361693,1968200.77274109,485939,18933027,5000,1057,,,EL MONTE,AV,,MOUNTAIN VIEW,CA,94040-2320,3,PAR,FY2019Q2,1057 EL MONTE AV,957.78696959779,53561.7154470822,1
6100076.43813233,1967139.09097301,486102,18903019,5000,930,,,MIRAMONTE,AV,,MOUNTAIN VIEW,CA,94040,1,PAR,FY2019Q2,930 MIRAMONTE AV,2283.52399078176,221423.908296757,1
6098264.26091873,1968029.54621341,486533,18933035,5000,1075,,,EL MONTE,AV,,MOUNTAIN VIEW,CA,94040,1,PAR,FY2019Q2,1075 EL MONTE AV,1166.7210879047,72373.1801756292,1
6095835.3103711,1971019.26595579,491098,14836026,5000,2246,,W,EL CAMINO REAL,,,MOUNTAIN VIEW,CA,94040-1613,1,PAR,FY2019Q2,2246 W EL CAMINO REAL,677.352937324521,28362.3223146063,1
6099959.19224945,1973455.2279474,491732,15008035,5010,456,,,FARLEY,ST,,MOUNTAIN VIEW,CA,94043-4424,1,PAR,FY2019Q2,456 FARLEY ST,347.539068287052,6188.44238910969,1
6094136.08187103,1973794.61375074,495145,,,,,,,,,,,,,,,,1657.69523286729,148279.667657077,1
